"ORDCOM","FECORD","CODPRO","DESORD","CRECON","PLAENT","TIECAN","MONORD","DTOORD","REFCOM","STAORD","AFEPRE","CONPAG","FORENT","FECANU","TIPMON","VALMON","TIPCOM","TIPORD","TIPO","CODUNI","CODEMP","NOTORD","TIPDOC","TIPPRO","AFEPRO","DOCCOM","REFSOL","TIPFIN","JUSTIF","CONCEPTO","REFREQ","RESENT","LUGENT","LUGCOM","EMBALAJE","ORIGEN","CLAFIE","CLAPEN","CLAESP","CLAEXT","CODINTUSU","FIANZA","FECFIA","INSFIN","CODUBI","CODMEDCOM","CODPROCOM","CODPAI","CODEDO","CODMUN","APLART","APLART6","ALCORD","CODTIPCOM","NUMCON","FECCON","NUMPTO","FECPTO","NUMRES","PORTOL","FECAPR","MONFIA","TIPFIA","CEDFIRAUT","CODTIPART","OBSEMB","CODTIPFIN","CODSUC","CODARTEMP","CODPROCCONT"
"20OCG00034",2020-02-03 00:00:00,"0000000286","SERVICIO DE DESAYUNOS Y ALMUERZOS CON BEBIDAS PARA EL PERSONAL QUE PRESTARA APOYO EN EL EMPAQUETADO DE LAS BOLSAS CLAP PARA SER DISTRIBUIDAS EN LA PARROQUIA SANTA ROSALÍA, DISTRITO CAPITAL.",,,,27028000,0,"20OCG00034",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000275,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,CSARMIENTO,N,,,"0025",,,,,,NO,NO,,,,,COM-2020-00033,2020-02-03 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20OCG00075",2020-02-10 00:00:00,"0000000376","ADQUISICION DE ALIMENTOS (VEGETALES, QUESO, PASTA Y PAN) PARA DOTAR A LA COCINA DE PRESIDENCIA EL 24 DE ENERO DEL PRESENTE AÑO. SOLICITADO POR LA GERENCIA GENERAL SECRETARIA DE LA PRESIDENCIA. ",,,,18055120,0,"20OCG00075",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000042,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,rlamuno,N,,,"0025",,,,,,NO,NO,,,,,COM-00050-2020,2020-02-10 00:00:00,,0,1899-12-30 00:00:00,0,,                    ,"0000000001",,"000001",,,"002"
"20OCG00076",2020-02-10 00:00:00,"0000000376","ADQUISICION DE CHARCUTERIA (JAMON, QUESO, MAIZ) PARA DOTAR A LA COCINA DE PRESIDENCIA EL DIA 24 DE ENERO DEL PRESENTE AÑO. ",,,,16422700,0,"20OCG00076",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000028,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,rlamuno,N,,,"0025",,,,,,NO,NO,,,,,COM-00049-2020,2020-02-10 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20OCG00077",2020-02-10 00:00:00,"0000000376","ADQUISICION DE FRUTAS PARA DOTAR A LA COCINA DE PRESIDENCIA EL DIA 22 DE ENERO, SOLICITADO POR LA GERENCIA GENERAL SECRETARIA DE LA PRESIDENCIA. ",,,,20373803,0,"20OCG00077",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000040,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,rlamuno,N,,,"0025",,,,,,NO,NO,,,,,COM-00048-2020,2020-02-10 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20OCG00078",2020-02-10 00:00:00,"0000000376","ADQUISICION DE (CARAMELOS, CUBITOS, TE, Y CREMA DE COCO) PARA DOTAR A LA COCINA DE PRESIDENCIA, SOLICITADO POR LA GERENCIA GENERAL SECRETARIA DE LA PRESIDENCIA. ",,,,9688320,0,"20OCG00078",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000029,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,rlamuno,N,,,"0025",,,,,,NO,NO,,,,,COM-00047-2020,2020-02-10 00:00:00,,0,1899-12-30 00:00:00,0,,                    ,"0000000001",,"000001",,,"002"
"20OCG00079",2020-02-10 00:00:00,"0000000376","ADQUISICION DE ALIMENTOS (PESCADO, POLLO, VEGETALES) PARA DOTAR A LA COCINA DE PRESIDENCIA EL DIA 24 DE ENERO. SOLICITADO POR LA GERENCIA GENERAL SECRETARIA DE LA PRESIDENCIA. ",,,,23742080,0,"20OCG00079",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000043,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,rlamuno,N,,,"0025",,,,,,NO,NO,,,,,COM-00054-2020,2020-02-10 00:00:00,,0,1899-12-30 00:00:00,0,,                    ,"0000000001",,"000001",,,"002"
"20GGI00014",2020-02-28 00:00:00,"0000002272",SERVICIO DE EMPAQUETADO SIN AFECTACION PRESUPUESTARIA,,,,0,0,"20GGI00014",A,N,,A NIVEL NACIONAL,,"00 ",1,,S,"0",,,,,,N,OSSP,,,,,,,VENEZUELA ,,N,A,,,,,rruiz,N,,,"0025",,,,,,NO,NO,,,,,"1",2020-02-01 00:00:00,JD-CUSPAL,10,,,,V16043844           ,"0000000007",,"000001",,"001-006-1-0001      ","001"
"20OCG00129",2020-02-28 00:00:00,"0000001380",SERVICIO DE CENAS PARA EL PERSONAL QUE PRESTARA APOYO EN EL EMPAQUETADO DE BOLSAS CLAP QUE SERAN DISTRIBUIDAS EN LA PARROQUIA EL RECREO.,,,,73196000,0,"20OCG00129",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000551,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,RLAMUNO,N,,,"0025",,,,,,NO,NO,,,,,COM-0009-2020,2020-02-28 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"001"
"20OCG00130",2020-02-28 00:00:00,"0000001380","SERVICIO DE REFRIGERIOS, ALMUERZOS E HIDRATACION PARA EL PERSONAL QUE PRESTARA APOYO EN EL EMPAQUETADO DE BOLSAS CLAP PARA SER DISTRIBUIDAS EN LA PARROQUIA LA VEGA, EL VALLE, CATI Y LA PASTORA.",,,,668345600,0,"20OCG00130",N,S,,SEGÚN ACUERDO ENTRE PARTES,2020-03-04 00:00:00,"001",1,,S,"0",,,,,,N,OSNP,ST000549,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,RLAMUNO,N,,,"0025",,,,,,NO,NO,,,,,COM-0009-2020,2020-02-28 00:00:00,,0,1899-12-30 00:00:00,0,,                    ,"0000000001",,"000001",,,"001"
"20OCG00131",2020-02-28 00:00:00,"0000001380",SERVICIO DE CENAS E HIDRATACION PARA EL PERSONAL QUE PRESTARA APOYO EN EL EMPAQUETADO DE BOLSAS CLAP QUE SERAN DISTRIBUIDAS EN LA PARROQUIA SAN PEDRO.,,,,38918000,0,"20OCG00131",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000554,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,RLAMUNO,N,,,"0025",,,,,,NO,NO,,,,,COM-0009-2020,2020-02-28 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,
