date,tweets_count,retweet_count,favorite_count,interactions_count,engagement_rate,tweets_var(%),retweet_var(%),favorite_var(%),interactions_var(%),engagement_rate_var(%)
2019-06-30,15,2,37,39,3.12196246560588e-05,,,,,
2019-07-31,96,7071,53596,60667,0.007588144907889095,540.0,353450.0,144754.05,155456.41,24205.69
2019-08-31,100,567,2997,3564,0.00042794900874689834,4.17,-91.98,-94.41,-94.13,-94.36
2019-09-30,60,8146,37062,45208,0.009047287124686575,-40.0,1336.68,1136.64,1168.46,2014.1
2019-10-31,62,6687,25037,31724,0.006143991145091867,3.33,-17.91,-32.45,-29.83,-32.09
2019-11-30,55,13011,117803,130814,0.02855918866963409,-11.29,94.57,370.52,312.35,364.83
2019-12-31,65,27199,154756,181955,0.03361282132717857,18.18,109.05,31.37,39.09,17.7
2020-01-31,55,115876,336021,451897,0.098657725337056,-15.38,326.03,117.13,148.36,193.51
2020-02-29,73,98030,290600,388630,0.0639245665441735,32.73,-15.4,-13.52,-14.0,-35.21
2020-03-31,47,36014,147170,183184,0.04679980133384189,-35.62,-63.26,-49.36,-52.86,-26.79
2020-04-30,38,766,6626,7392,0.0023357840633358978,-19.15,-97.87,-95.5,-95.96,-95.01
2020-05-31,66,148650,466655,615305,0.11194400436478005,73.68,19306.01,6942.79,8223.93,4692.57
2020-06-30,3,1439,7381,8820,0.03530219095723571,-95.45,-99.03,-98.42,-98.57,-68.46
2020-07-31,63,103884,318215,422099,0.08045038063307547,2000.0,7119.18,4211.27,4685.7,127.89
2020-08-31,31,115868,64307,180175,0.06978903067500489,-50.79,11.54,-79.79,-57.31,-13.25
2020-09-30,57,21,59,80,1.6852700362069524e-05,83.87,-99.98,-99.91,-99.96,-99.98
2020-10-31,51,30984,24967,55951,0.013173223445515267,-10.53,147442.86,42216.95,69838.75,78066.84
2020-11-30,61,28,70,98,1.9290817047084012e-05,19.61,-99.91,-99.72,-99.82,-99.85
2020-12-31,2,0,1,1,6.003774693225124e-06,-96.72,-100.0,-98.57,-98.98,-68.88
