date,tweets_count,retweet_count,favorite_count,interactions_count,engagement_rate,tweets_var(%),retweet_var(%),favorite_var(%),interactions_var(%),engagement_rate_var(%)
2019-06-30,15,2,37,39,3.12196246560588e-05,,,,,
2019-07-07,33,6050,46491,52541,0.019117835653309854,120.0,302400.0,125551.35,134620.51,61136.6
2019-07-14,22,582,4584,5166,0.002819590576454541,-33.33,-90.38,-90.14,-90.17,-85.25
2019-07-21,18,436,2492,2928,0.0019532277989944475,-18.18,-25.09,-45.64,-43.32,-30.73
2019-07-28,16,2,16,18,1.3508491437717748e-05,-11.11,-99.54,-99.36,-99.39,-99.31
2019-08-04,17,2,34,36,2.542774858864518e-05,6.25,0.0,112.5,100.0,88.24
2019-08-11,22,7,84,91,4.9667584680093536e-05,29.41,250.0,147.06,152.78,95.33
2019-08-18,29,4,73,77,3.188211005990089e-05,31.82,-42.86,-13.1,-15.38,-35.81
2019-08-25,25,546,2744,3290,0.0015801933095143605,-13.79,13550.0,3658.9,4172.73,4856.36
2019-09-01,17,9,83,92,6.498202417098209e-05,-32.0,-98.35,-96.98,-97.2,-95.89
2019-09-08,17,7994,34275,42269,0.02985570847481786,0.0,88722.22,41195.18,45844.57,45844.57
2019-09-15,14,10,97,107,9.177197357687613e-05,-17.65,-99.87,-99.72,-99.75,-99.69
2019-09-22,14,3,79,82,7.032992367573685e-05,0.0,-70.0,-18.56,-23.36,-23.36
2019-09-29,12,139,2603,2742,0.002743724705349783,-14.29,4533.33,3194.94,3243.9,3801.22
2019-10-06,17,9,95,104,7.345794036719717e-05,41.67,-93.53,-96.35,-96.21,-97.32
2019-10-13,16,6672,24885,31557,0.02368263690555884,-5.88,74033.33,26094.74,30243.27,32139.72
2019-10-20,15,5,29,34,2.72171086745128e-05,-6.25,-99.93,-99.88,-99.89,-99.89
2019-10-27,7,1,20,21,3.602264383391399e-05,-53.33,-80.0,-31.03,-38.24,32.35
2019-11-03,7,0,8,8,1.372291193672914e-05,0.0,-100.0,-60.0,-61.9,-61.9
2019-11-10,9,1183,6175,7358,0.009816837530738486,28.57,inf,77087.5,91875.0,71436.11
2019-11-17,13,6,19,25,2.3091438355073072e-05,44.44,-99.49,-99.69,-99.66,-99.76
2019-11-24,7,11,108,119,0.000204128315058846,-46.15,83.33,468.42,376.0,784.0
