"FECHA_ORDEN","FECHA_VENCIMIENTO","FECHA_ORDEN_PAGADA","ORDEN_DE_COMPRA","MONTO","TIPO_MONEDA","NOMBRE_PROVEEDOR","RUBRO"
"22-01-2020","22-01-2020","22-01-2020","20CAL00186",1547199661.39,BOLIVAR,INDUSTRIAS DIANA C A,MARGARINA (E)
"22-01-2020","22-01-2020","22-01-2020","20CAL00184",641064372,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","22-01-2020","22-01-2020","20CAL00185",160186000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE (E)
"29-01-2020","13-03-2020","17-11-2020","20CAL00231",13329275085,BOLIVAR,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"03-02-2020","05-02-2020","12-02-2020","20CAL00257",1938118320,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",CEBOLLA (E)
"03-02-2020","05-02-2020","12-02-2020","20CAL00256",3628817280,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",PLATANO (E)
"03-02-2020","05-02-2020","12-02-2020","20CAL00255",2061828000,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",YUCA (E)
"03-02-2020","05-02-2020","12-02-2020","20CAL00254",6030846900,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",PAPA (E)
"03-02-2020","05-02-2020","12-02-2020","20CAL00258",5195806560,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",ZANAHORIA (E)
"17-02-2020","15-06-2020",,"20CAL00280",6935665905,BOLIVAR,"INVERSIONES Y FESTEJO DOÑA SOFIA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
"03-03-2020","11-03-2020","12-03-2020","20CAL00365",11155077675,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",CEBOLLA (E)
"03-03-2020","11-03-2020","12-03-2020","20CAL00368",947784598.95,BOLIVAR,LACTEOS LOS ANDES C.A.  ,SALSA DE TOMATE (IVA)
"03-03-2020","11-03-2020","12-03-2020","20CAL00368",947784598.95,BOLIVAR,LACTEOS LOS ANDES C.A.  ,SALSA DE TOMATE (IVA)
"03-03-2020","11-03-2020",,"20CAL00369",451745000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"03-03-2020","13-03-2020","13-03-2020","20CAL00369",451745000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"04-03-2020","11-03-2020","12-03-2020","20CAL00372",1599583952.82,BOLIVAR,INDUSTRIAS DIANA C A,MARGARINA (E)
"24-03-2020","16-11-2020",,"20CAL00535",4455248490,BOLIVAR,INPROA SANTONI C A,HARINA DE ARROZ PRECOCIDA (E)
"16-04-2020","15-06-2020",,"20CAL00586",125939175332.97,BOLIVAR,"AVICOLA LA PROVIDENCIA, C.A.",COMBOS DE ALIMENTOS (E)
"22-04-2020","21-07-2020","22-07-2020","20CAL00605",734055000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"22-04-2020","21-07-2020",,"20CAL00602",734055000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"22-04-2020","21-07-2020","22-07-2020","20CAL00602",734055000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"30-04-2020","20-10-2020",,"20CAL00619",30139564569.1,BOLIVAR,"DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
"30-04-2020","16-11-2020",,"20CAL00619",30139564569.1,BOLIVAR,"DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
