"FECHA_ORDEN","ORDEN_DE_COMPRA","MONTO","TIPO_MONEDA","NOMBRE_PROVEEDOR","RUBRO"
"22-01-2020","20CAL00184",641064372,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","20CAL00184",641064372,DOLAR,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","20CAL00186",1547199661.39,PETRO,INDUSTRIAS DIANA C A,MARGARINA (E)
"22-01-2020","20CAL00186",1547199661.39,EURO,INDUSTRIAS DIANA C A,MARGARINA (E)
"22-01-2020","20CAL00186",1547199661.39,DOLAR 0.0001,INDUSTRIAS DIANA C A,MARGARINA (E)
"22-01-2020","20CAL00186",1547199661.39,DOLAR,INDUSTRIAS DIANA C A,MARGARINA (E)
"22-01-2020","20CAL00184",641064372,DOLAR 0.0001,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","20CAL00184",641064372,EURO,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","20CAL00184",641064372,PETRO,"FAMA DE AMERICA, S.A.",CAFE 500 GR
"22-01-2020","20CAL00185",160186000,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE (E)
"22-01-2020","20CAL00185",160186000,DOLAR,"FAMA DE AMERICA, S.A.",CAFE (E)
"22-01-2020","20CAL00185",160186000,DOLAR 0.0001,"FAMA DE AMERICA, S.A.",CAFE (E)
"22-01-2020","20CAL00185",160186000,EURO,"FAMA DE AMERICA, S.A.",CAFE (E)
"22-01-2020","20CAL00185",160186000,PETRO,"FAMA DE AMERICA, S.A.",CAFE (E)
"22-01-2020","20CAL00186",1547199661.39,BOLIVAR,INDUSTRIAS DIANA C A,MARGARINA (E)
"29-01-2020","20CAL00231",13329275085,DOLAR 0.0001,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"29-01-2020","20CAL00231",13329275085,DOLAR,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"29-01-2020","20CAL00231",13329275085,BOLIVAR,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"29-01-2020","20CAL00231",13329275085,EURO,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"29-01-2020","20CAL00231",13329275085,PETRO,INDUSTRIA PROCESADORA DE ALIMENTOS CALABOZO (INPROALCA) C.A.,ARROZ BLANCO  (E)
"03-02-2020","20CAL00255",2061828000,PETRO,"AGROINDUSTRIA TARRAGONA XXI, C.A.",YUCA (E)
"03-02-2020","20CAL00258",5195806560,EURO,"AGROINDUSTRIA TARRAGONA XXI, C.A.",ZANAHORIA (E)
"03-02-2020","20CAL00258",5195806560,DOLAR 0.0001,"AGROINDUSTRIA TARRAGONA XXI, C.A.",ZANAHORIA (E)
"03-02-2020","20CAL00258",5195806560,DOLAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",ZANAHORIA (E)
"03-02-2020","20CAL00258",5195806560,BOLIVAR,"AGROINDUSTRIA TARRAGONA XXI, C.A.",ZANAHORIA (E)
