ORDCOM;TO_CHAR(O.FECORD,'DD-MM-YYYY');CANTOT;UNIMED;NOMPRO;TO_CHAR(DP.FECHA_PLANIFICACION,'DD-MM-YYYYHH:MM:SS');VOL_PLANIFICADO
19CAL01349;11-10-2019;542,00;CAJAS;AGRICOLAS KAIROS C.A;14-04-2020 10:04:15;14,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;16-01-2020 10:01:59;9,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;16-01-2020 10:01:52;104,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;16-01-2020 10:01:24;130,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;16-01-2020 10:01:14;104,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;16-01-2020 10:01:00;78,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;07-02-2020 10:02:39;104,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;05-02-2020 01:02:50;85,20
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:24;78,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:56;78,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:13;79,80
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:45;26,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:09;26,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:53;26,00
19CAL01758;25-11-2019;500,00;TM;GRUPO G.E.R.C, C.A.;04-02-2020 03:02:23;26,00
