"ORDEN_COMPRA","FECHA","PROVEEDOR","MONTO_EURO"
"20CAL00004","01-2020",GENERAL SUPPLY DEL ZULIA CA,243000
"20CAL00006","01-2020",GENERAL SUPPLY DEL ZULIA CA,1440000
"20CAL00001","01-2020","INVERSORA Y CONSTRUCTORA ICER, C.A.",1399999.968
"20CAL00012","01-2020","XEAX ALIMENTOS,C.A",153900
"20CAL00008","01-2020","XEAX ALIMENTOS,C.A",217000
"20CAL00013","01-2020","ALIMENTOS EL MAIZAL, C.A.",6328800
"20CAL00037","01-2020","INVERSIONES Y DISTRIBUCION DE ALIMENTOS MARTECA, C.A",590400
"20CAL00043","01-2020",COMERCIALIZADORA JOSDIE C.A,506250
"20CAL00042","01-2020",COMERCIALIZADORA JOSDIE C.A,506250
"20CAL00045","01-2020",COMERCIALIZADORA JOSDIE C.A,675000
"20CAL00026","01-2020","ALIMENTOS EL MAIZAL, C.A.",6000000
"20CAL00035","01-2020","DALLCA, C.A.",1246000
"20CAL00034","01-2020","AGROINDUSTRIA TARRAGONA XXI, C.A.",128200
"20CAL00050","01-2020",COMERCIALIZADORA JOSDIE C.A,618750
"20CAL00069","01-2020","DISTRIBUIDORA PITIA, CA",472500
"20CAL00063","01-2020","ALIMENTOS LUAL, C.A.",720000
"20CAL00065","01-2020","DISTRIBUIDORA PITIA, CA",810000
"20CAL00182","01-2020","INVERSIONES NAKEY, C.A",478800
"20CAL00187","01-2020","EL GRUPO EBENEZER, C.A.",2129999.98
"20CAL00188","01-2020","EL GRUPO EBENEZER, C.A.",2129992.2
"20CAL00224","01-2020","ALIMENTOS EL MAIZAL, C.A.",3000000
"20CAL00225","01-2020","INVERSIONES TOP SUMINISTROS, C.A",1287000
"20CAL00226","01-2020","TROPICAL IMPORT, C.A",2700000
"20CAL00227","01-2020","DISTRIBUIDORA Y COMERCIALIZADORA DAYKARI, C.A.",486000
"20CAL00236","01-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,1795500
"20CAL00237","01-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,478800
"20CAL00267","02-2020","DISTRIBUCIONES ARA, C.A.",659345.42
"20CAL00268","02-2020","COMERCIALIZADORA ROFRANBERT, C.A",990000
"20CAL00277","02-2020",DISTRIBUIDORA SOL DE ORIENTE 2017 C.A,66150
"20CAL00273","02-2020","COMERCIAL SUR, C.A.",453600
"20CAL00276","02-2020",DISTRIBUIDORA SOL DE ORIENTE 2017 C.A,292000
"20CAL00275","02-2020","AGROPECUARIA LA ROSALIERA, C.A.",382500
"20CAL00283","02-2020",ALIMENTOS ARMUSA C.A,1474300
"20CAL00282","02-2020","EL GRUPO EBENEZER, C.A.",2129992.2
"20CAL00292","02-2020","AGROPECUARIA HCR, C.A",1044000
"20CAL00284","02-2020","MAXIMAS DISTRIBUCIONES R.M, C.A ",1632268.04
"20CAL00281","02-2020","CARNES FINAS, C.A.",3240000
"20CAL00294","02-2020",SIGMA INTERNATIONAL SERVICES INC,699079.2
"20CAL00298","02-2020",SIGMA INTERNATIONAL SERVICES INC,1094850.75
"20CAL00296","02-2020",SIGMA INTERNATIONAL SERVICES INC,1094850.75
"20CAL00297","02-2020",PASTAS LA SIRENA C.A,990000
"20CAL00370","03-2020","MKE MANUFACTURA SUR, C.A",2566000
"20CAL00384","03-2020","EL ACAPRO DEL GEF, C.A",720000
"20CAL00385","03-2020","AGROPECUARIA LA ROSALIERA, C.A.",2880000
"20CAL00389","03-2020",ZONA LIBRE 2000 CA,1830400
"20CAL00390","03-2020",ZONA LIBRE 2000 CA,1408000
"20CAL00386","03-2020",ZONA LIBRE 2000 CA,1619200
"20CAL00391","03-2020",ZONA LIBRE 2000 CA,475200
"20CAL00428","03-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,1795500
"20CAL00431","03-2020","ALIMENTOS SANTA MARTA, C.A",720000
"20CAL00433","03-2020","ALIMENTOS ROGAL, C.A",2636402
"20CAL00443","03-2020","AVICOLA LA PROVIDENCIA, C.A.",478800
"20CAL00442","03-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",427329
"20CAL00420","03-2020","ALIMENTOS SURVEN, C.A.",1595179.78
"20CAL00441","03-2020",DISTRIBUIDORA GUADO C.A,576000
"20CAL00438","03-2020","PROCESADORA DE ALIMENTOS POLLOS RANCHEROS, C.A",847350
"20CAL00424","03-2020","CORPORACION MANA 77, C.A.",2564000
"20CAL00432","03-2020","CONSORCIO VEINCA, C.A.",720000
"20CAL00436","03-2020","AGROPECUARIA SAN CRISTOBAL 2018, C.A",360000
"20CAL00427","03-2020",DISTRIBUIDORA LOS LLANOS 03 C.A.,720000
"20CAL00434","03-2020","ASOCIACION COOPERATIVA TORO ROJO 2505, R.L",360000
"20CAL00444","03-2020","INVERSORA Y CONSTRUCTORA ICER, C.A.",1440000
"20CAL00423","03-2020","DISTRIBUIDORA DE ALIMENTOS LOS SOTOS 48, C.A.",1514695.82
"20CAL00426","03-2020",CONSORCIO GRANO ALTO,741290.86
"20CAL00463","03-2020","DESARROLLOS DAHMO, C.A.",641000
"20CAL00460","03-2020","TROPICAL IMPORT, C.A",2700000
"20CAL00461","03-2020","ALIMENTOS FENIX DE VENEZUELA, C.A.",2287500
"20CAL00450","03-2020","AVICOLA LA PROVIDENCIA, C.A.",190256.85
"20CAL00449","03-2020","AVICOLA LA PROVIDENCIA, C.A.",21600
"20CAL00448","03-2020","AVICOLA LA PROVIDENCIA, C.A.",386321
"20CAL00478","03-2020","ALIMENTOS SURVEN, C.A.",1173910
"20CAL00457","03-2020",DISTRIBUIDORA GUADO C.A,961500
"20CAL00453","03-2020","ALIMENTOS JAD GLOBAL, C.A",518400
"20CAL00452","03-2020","ALIMENTOS JAD GLOBAL, C.A",333900
"20CAL00451","03-2020","ALIMENTOS JAD GLOBAL, C.A",747000
"20CAL00456","03-2020","AGROINDUSTRIA LOS TURPIALES. RZ 1009, C.A",661500
"20CAL00458","03-2020","INVERSIONES Y FESTEJO DOÑA SOFIA, C.A",2800000
"20CAL00482","03-2020","AGROPECUARIA SAN CRISTOBAL 2018, C.A",472500
"20CAL00471","03-2020",INVERSIONES ALICEOLE C.A ,2070000
"20CAL00466","03-2020",CORPORACION DE ALIMENTOS FRESH MICKY CA,585000
"20CAL00484","03-2020","INVERSIONES Y DISTRIBUCION DE ALIMENTOS MARTECA, C.A",590400
"20CAL00483","03-2020",GRUPO SOCOLCA CA,120600
"20CAL00481","03-2020","DISTRIBUIDORA PITIA, CA",472500
"20CAL00480","03-2020","DISTRIBUIDORA PITIA, CA",810000
"20CAL00459","03-2020","ALIMENTOS ESSAGUA, C.A",580000
"20CAL00497","03-2020","ECO CARNES,  C.A",787500
"20CAL00494","03-2020","AGROPECUARIA HCR, C.A",1215000
"20CAL00493","03-2020","AGROPECUARIA HCR, C.A",1425000
"20CAL00496","03-2020","ALIMENTOS SURVEN, C.A.",900000
"20CAL00486","03-2020","INVERSORA Y CONSTRUCTORA ICER, C.A.",10256000
"20CAL00485","03-2020","ALIMENTOS LUAL, C.A.",3079200
"20CAL00495","03-2020","SOLUCIONES LOGISTICAS CF, C.A.",1650000
"20CAL00491","03-2020","MGP, C.A.",445500
"20CAL00490","03-2020","MGP, C.A.",68850
"20CAL00489","03-2020","MGP, C.A.",731250
"20CAL00488","03-2020","MGP, C.A.",243000
"20CAL00487","03-2020","MGP, C.A.",202500
"20CAL00492","03-2020","MGP, C.A.",486000
"20CAL00509","03-2020",DISTRICARSMIRTH CA,576000
"20CAL00505","03-2020","COMERCIALIZADORA CLMC, C.A.",101250
"20CAL00507","03-2020","COMERCIALIZADORA CLMC, C.A.",121500
"20CAL00503","03-2020","INVERSIONES GL 2021, C.A",100800
"20CAL00508","03-2020","COMERCIALIZADORA CLMC, C.A.",40500
"20CAL00504","03-2020","COMERCIALIZADORA CLMC, C.A.",324000
"20CAL00506","03-2020","COMERCIALIZADORA CLMC, C.A.",72000
"20CAL00513","03-2020","ALIMENTOS  AGROPROSUR, C.A.",1080000
"20CAL00512","03-2020","ALIMENTOS  AGROPROSUR, C.A.",2835000
"20CAL00514","03-2020","ALIMENTOS LUAL, C.A.",2052800
"20CAL00511","03-2020","DISTRIBUIDORA DE ALIMENTOS LAD, C.A.",2250000
"20CAL00515","03-2020","INVERSORA Y CONSTRUCTORA ICER, C.A.",5128000
"20CAL00525","03-2020","TROPICAL IMPORT, C.A",1608692.06
"20CAL00524","03-2020","ALIMENTOS  AGROPROSUR, C.A.",1860797.36
"20CAL00532","03-2020","DISTRIBUCIONES ARA, C.A.",1582205.94
"20CAL00531","03-2020","MAXIMAS DISTRIBUCIONES R.M, C.A ",1632268.04
"20CAL00529","03-2020",GRUPO SOCOLCA CA,486000
"20CAL00530","03-2020",ALIMENTOS ARMUSA C.A,1474300
"20CAL00544","03-2020","MEGATRONIC, C.A",269100
"20CAL00547","04-2020","GRUPO AS 2000, C.A.",2954880
"20CAL00563","04-2020","ALIMENTOS LUAL, C.A.",1687500
"20CAL00564","04-2020","ALIMENTOS SANTA MARTA, C.A",1687500
"20CAL00568","04-2020","KOMO NUEVO 1, C.A.",2800000
"20CAL00566","04-2020","ALIMENTOS SANTA MARTA, C.A",1875000
"20CAL00565","04-2020","ALIMENTOS LUAL, C.A.",1875000
"20CAL00590","04-2020","ALIMENTOS FENIX DE VENEZUELA, C.A.",458003.25
"20CAL00587","04-2020",ENVASADORA DE ALIMENTOS (EVALSA) SOCIEDAD ANONIMA,1799728.28
"20CAL00589","04-2020","DISTRIBUIDORA Y COMERCIALIZADORA DAYKARI, C.A.",732805.2
"20CAL00588","04-2020",NORTECA INTERNATIONAL LIMITED,1282412.36
"20CAL00592","04-2020","ALIMENTOS LUAL, C.A.",1374008.35
"20CAL00598","04-2020","SERVICIOS AVICOLAS, C.A. SERAVICA",598500
"20CAL00594","04-2020",IMPORTADORA Y COMERCIALIZADORA MAXIMA C.A. ,1440000
"20CAL00599","04-2020","ALIMENTOS VENEZOLANOS S&M ALIVENSA, S.A",1620000
"20CAL00595","04-2020","ALIMENTOS SANTA MARTA, C.A",1215000
"20CAL00597","04-2020","ALIMENTOS SANTA MARTA, C.A",584995.8
"20CAL00601","04-2020","AGRO AGUACATES AFN, C.A.",1392000
"20CAL00600","04-2020","SUVEN LG, C.A.",1392000
"20CAL00610","04-2020","INVERSIONES COGOYAL, C.A.",900000
"20CAL00609","04-2020","OLEAGINOSAS INDUSTRIALES OLEICA, C.A.",478800
"20CAL00613","04-2020","GRUPO AS 2000, C.A.",579150
"20CAL00614","04-2020","GRUPO AS 2000, C.A.",3693600
"20CAL00623","04-2020","CONSORCIO DE ALIMENTOS GLOBAL AMERICA, C.A.",149310
"20CAL00624","05-2020","AGROINDUSTRIA RENACER, C.A.",945000
"20CAL00681","05-2020","ECO CARNES,  C.A",900000
"20CAL00675","05-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",708750
"20CAL00655","05-2020","MAXIMAS DISTRIBUCIONES R.M, C.A ",540000
"20CAL00657","05-2020","CONSORCIO VEINCA, C.A.",720000
"20CAL00668","05-2020","EL GRUPO EBENEZER, C.A.",250560
"20CAL00667","05-2020","EL GRUPO EBENEZER, C.A.",1998000
"20CAL00664","05-2020","EL GRUPO EBENEZER, C.A.",559440
"20CAL00673","05-2020","PROCESADORA AVICOLA TIO POLLO, C.A. (PROATIPOLLO)",1332000
"20CAL00676","05-2020","PRODUCTORA AVICOLA RONGRAT, C.A",313200
"20CAL00644","05-2020","PRODUCTORA AVICOLA RONGRAT, C.A",787500
"20CAL00672","05-2020","AVICOLA LA GUASIMA, C.A",666000
"20CAL00648","05-2020",LP LIDER POLLO C.A,31500
"20CAL00665","05-2020",LP LIDER POLLO C.A,266400
"20CAL00666","05-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,1998000
"20CAL00670","05-2020",AGROPECUARIA PIEDRAS AZULES C.A.,125280
"20CAL00669","05-2020",AGROPECUARIA PIEDRAS AZULES C.A.,532800
"20CAL00674","05-2020",GRANJA AVICOLA LA PONDEROSA C A,532800
"20CAL00671","05-2020","INDUSTRIAS POLLO PREMIUM 5.8, C A",1065600
"20CAL00656","05-2020","ASOCIACION COOPERATIVA EL CUNAVICHERO 491, RL",540000
"20CAL00678","05-2020",PROAGRO C.A.,187920
"20CAL00650","05-2020",FUNDACION BATALLA MATA DE MIEL,180000
"20CAL00679","05-2020","AVICOLA LA PROVIDENCIA, C.A.",1332000
"20CAL00659","05-2020",FRIPICA C.A,900000
"20CAL00699","05-2020","ECO CARNES,  C.A",788400
"20CAL00721","05-2020","MEGATRONIC, C.A",412620
"20CAL00701","05-2020",DISTRICARSMIRTH CA,576000
"20CAL00717","05-2020","MEGATRONIC, C.A",3913100
"20CAL00716","05-2020","MEGATRONIC, C.A",2937550
"20CAL00722","05-2020","MEGATRONIC, C.A",382200
"20CAL00720","05-2020","MEGATRONIC, C.A",412620
"20CAL00718","05-2020","MEGATRONIC, C.A",326400
"20CAL00689","05-2020","CONSORCIO VEINCA, C.A.",720000
"20CAL00710","05-2020","EL GRUPO EBENEZER, C.A.",1065600
"20CAL00709","05-2020","EL GRUPO EBENEZER, C.A.",2251080
"20CAL00713","05-2020","EL GRUPO EBENEZER, C.A.",472500
"20CAL00693","05-2020","AGROPECUARIA SAN CRISTOBAL 2018, C.A",360000
"20CAL00685","05-2020",DISTRIBUIDORA LOS LLANOS 03 C.A.,720000
"20CAL00691","05-2020","ASOCIACION COOPERATIVA TORO ROJO 2505, R.L",360000
"20CAL00692","05-2020","IMPORTADORA COMERCIALIZADORA EMPAQUETADORA SAN BENITO, C.A.",351000
"20CAL00712","05-2020","FABRICA DE PASTAS ALIMENTICIAS ROSANA, C.A. FAPARCA",102960
"20CAL00708","05-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,999000
"20CAL00686","05-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,1998000
"20CAL00695","05-2020","SERVICIOS AVICOLAS, C.A. SERAVICA",666000
"20CAL00705","05-2020",FUNDACION BATALLA MATA DE MIEL,180000
"20CAL00707","05-2020","AVICOLA LA PROVIDENCIA, C.A.",740250
"20CAL00706","05-2020","AVICOLA LA PROVIDENCIA, C.A.",532800
"20CAL00714","05-2020","AVICOLA LA PROVIDENCIA, C.A.",1102500
"20CAL00697","05-2020","AVICOLA LA PROVIDENCIA, C.A.",708750
"20CAL00696","05-2020","AVICOLA LA PROVIDENCIA, C.A.",666000
"20CAL00704","05-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",393750
"20CAL00715","05-2020","MEGATRONIC, C.A",1765800
"20CAL00694","05-2020","COMERCIAL SUR, C.A.",990000
"20CAL00735","05-2020",GRUPO SOCOLCA CA,7020000
"20CAL00734","05-2020","MEGATRONIC, C.A",9275604
"20CAL00727","05-2020",GRUPO SOCOLCA CA,4680000
"20CAL00737","05-2020","DISTRIBUIDORA SAN MIGUEL MM, CA",2513700
"20CAL00733","05-2020","COMERCIALIZADORA CLMC, C.A.",585000
"20CAL00732","05-2020","COMERCIALIZADORA CLMC, C.A.",585000
"20CAL00731","05-2020","COMERCIALIZADORA CLMC, C.A.",585000
"20CAL00730","05-2020","COMERCIALIZADORA CLMC, C.A.",585000
"20CAL00740","05-2020","COMERCIALIZADORA CLMC, C.A.",105300
"20CAL00739","05-2020","COMERCIALIZADORA CLMC, C.A.",324000
"20CAL00738","05-2020","COMERCIALIZADORA CLMC, C.A.",42120
"20CAL00726","05-2020",EMPAQUETADORA LA BENDICION DE SION C.A.,540000
"20CAL00725","05-2020",EMPAQUETADORA LA BENDICION DE SION C.A.,810000
"20CAL00736","05-2020","MEGATRONIC, C.A",645301.8
"20CAL00729","05-2020","MEGATRONIC, C.A",645242
"20CAL00728","05-2020",GRUPO SOCOLCA CA,2340000
"20CAL00742","05-2020","AGROINVERSIONES LA VICTORIA, C.A",1944000
"20CAL00746","05-2020","AGROINVERSIONES LA VICTORIA, C.A",1404000
"20CAL00745","05-2020","AGROINVERSIONES LA VICTORIA, C.A",2376000
"20CAL00751","05-2020","AVICOLA LA PROVIDENCIA, C.A.",214740
"20CAL00743","05-2020","AGROINVERSIONES LA VICTORIA, C.A",756000
"20CAL00741","05-2020","CONSORCIO OLEAGINOSO PORTUGUESA, S.A. COPOSA",1764720
"20CAL00752","05-2020","AVICOLA LA PROVIDENCIA, C.A.",2250000
"20CAL00744","05-2020","AGROINVERSIONES LA VICTORIA, C.A",1404000
"20CAL00755","05-2020","ALIMENTOS LUAL, C.A.",10563750
"20CAL00760","05-2020","AGROALIMENTOS LA ORIENTAL, C.A.",945000
"20CAL00759","05-2020","AGROALIMENTOS LA ORIENTAL, C.A.",801000
"20CAL00756","05-2020",ENVASADORA DE ALIMENTOS (EVALSA) SOCIEDAD ANONIMA,8988000
"20CAL00754","05-2020",INVERSIONES ALICEOLE C.A ,7245000
"20CAL00761","05-2020","EMPRESA MIXTA SOCIALISTA AVICOLA DEL ALBA, S.A",1488240
"20CAL00753","05-2020",NORTECA INTERNATIONAL LIMITED,9924000
"20CAL00765","05-2020","DESARROLLOS DAHMO, C.A.",641500
"20CAL00770","05-2020","CORPORACION ASGB, C.A.",215280
"20CAL00764","05-2020",FINARMA C.A.,1840000
