"FECHA_ORDEN","FECHA_VENCIMIENTO","ORDEN_COMPRA","MONTO","TIPO_MONEDA","MONTO_ORDEN","NOMBRE_PROVEEDOR","RUBRO"
"11-03-2020","11-03-2020","20CAL00369",451745000,BOLIVAR,451745000,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"15-06-2020","15-06-2020","20CAL00586",125939175332.97,BOLIVAR,125939175332.97,"AVICOLA LA PROVIDENCIA, C.A.",COMBOS DE ALIMENTOS (E)
"15-06-2020","15-06-2020","20CAL00280",6935665905,BOLIVAR,6935665905,"INVERSIONES Y FESTEJO DOÑA SOFIA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
"16-06-2020","16-06-2020","20CAL00683",24111651655.2,BOLIVAR,24111651655.2,"ALIMENTOS VENEZOLANOS S&M ALIVENSA, S.A",HARINA DE MAIZ PRECOCIDA  (E)
"21-07-2020","21-07-2020","20CAL00602",734055000,BOLIVAR,734055000,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"23-07-2020","23-07-2020","20CAL01169",40000000,BOLIVAR,40000000,"MAXIMAS DISTRIBUCIONES R.M, C.A ",TOMATE (E)
"23-07-2020","23-07-2020","20CAL01166",22500000,BOLIVAR,22500000,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"29-07-2020","29-07-2020","20CAL01166",22500000,BOLIVAR,22500000,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"29-07-2020","29-07-2020","20CAL01170",22250000,BOLIVAR,22250000,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PIMENTON (E)
"30-07-2020","30-07-2020","20CAL01189",4054210300,BOLIVAR,4054210300,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"05-08-2020","05-08-2020","20CAL01219",107625000,BOLIVAR,107625000,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PAPA (E)
"09-10-2020","09-10-2020","20CAL00619",30139564569.1,BOLIVAR,30139564569.1,"DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
"20-10-2020","20-10-2020","20CAL00619",30139564569.1,BOLIVAR,30139564569.1,"DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
"16-11-2020","16-11-2020","20CAL00535",4455248490,BOLIVAR,4455248490,INPROA SANTONI C A,HARINA DE ARROZ PRECOCIDA (E)
"16-11-2020","16-11-2020","20CAL00619",30139564569.1,BOLIVAR,30139564569.1,"DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",HARINA DE MAIZ PRECOCIDA  (E)
